net,sim_time,voltage
vccbrk_vnn_0p65_lv,1u,0
vccbrk_vnn_0p65_lv,2u,0.75
vccbrk_vnn_0p65_lv,110u,0.75
vccbrk_vnn_0p65_lv,111u,0
vccbrk_0p9_lv,4u,0
vccbrk_0p9_lv,5u,0.9
vccbrk_0p9_lv,110u,0.9
vccbrk_0p9_lv,111u,0
vccbrk_1p5_hv,7u,0
vccbrk_1p5_hv,8u,1.5
vccbrk_1p5_hv,110u,1.5
vccbrk_1p5_hv,111u,0
abut_cm_lane_pwr_good_vnn,10u,0
abut_cm_lane_pwr_good_vnn,10.1u,0.75
abut_cm_lane_pwr_good_vnn,110u,0.75
abut_cm_lane_pwr_good_vnn,110.1u,0
abut_cm_lane_pwr_good_0p9v,10u,0
abut_cm_lane_pwr_good_0p9v,10.1u,0.9
abut_cm_lane_pwr_good_0p9v,110u,0.9
abut_cm_lane_pwr_good_0p9v,110.1u,0
abut_cm_lane_pwr_good_bar_1p5,7u,0
abut_cm_lane_pwr_good_bar_1p5,8u,1.5
abut_cm_lane_pwr_good_bar_1p5,10u,1.5
abut_cm_lane_pwr_good_bar_1p5,10.1u,0
abut_cm_lane_pwr_good_bar_1p5,110u,0
abut_cm_lane_pwr_good_bar_1p5,110.1u,1.5
abut_cm_lane_pwr_good_bar_1p5,110.5u,1.5
abut_cm_lane_pwr_good_bar_1p5,110.6u,0
abut_cm_lane_pwr_good_bar_1p5,120u,0
idig_reg_rst_n,11u,0
idig_reg_rst_n,11.1u,0.75
